name,city,state,country,latitude,longitude,tees,holes,par,rating,slope,access_type,website
Aberdeen Golf Club,Eureka,Missouri,USA,38.533651,-90.6193718,"[{""name"":""Gold (M)"",""rating"":74.8,""par"":72,""slope"":130},{""name"":""Black (M)"",""rating"":72,""par"":72,""slope"":124},{""name"":""Blue (M)"",""rating"":70.3,""par"":72,""slope"":120},{""name"":""Blue (F)"",""rating"":75.9,""par"":72,""slope"":127},{""name"":""White (M)"",""rating"":68.6,""par"":72,""slope"":118},{""name"":""White (F)"",""rating"":73.6,""par"":72,""slope"":119},{""name"":""Green (F)"",""rating"":72.2,""par"":72,""slope"":118},{""name"":""Green (M)"",""rating"":68.7,""par"":72,""slope"":115},{""name"":""Silver (F)"",""rating"":69.3,""par"":72,""slope"":112},{""name"":""Silver (M)"",""rating"":64.6,""par"":72,""slope"":108}]",18,72,,,Public,https://www.aberdeengolf.com/
Aberdeen Golf Country Club,Boynton Beach,Florida,USA,26.5508484,-80.1518542,"[{""name"":""Championship (M)"",""rating"":74.8,""par"":72,""slope"":144},{""name"":""I (M)"",""rating"":72.1,""par"":72,""slope"":139},{""name"":""II (M)"",""rating"":69.7,""par"":72,""slope"":134},{""name"":""III (M)"",""rating"":67.9,""par"":72,""slope"":124},{""name"":""III (F)"",""rating"":73,""par"":72,""slope"":138},{""name"":""IV (M)"",""rating"":65.3,""par"":72,""slope"":117},{""name"":""IV (F)"",""rating"":69.7,""par"":72,""slope"":132},{""name"":""V (F)"",""rating"":67.5,""par"":72,""slope"":121},{""name"":""V (M)"",""rating"":63.5,""par"":72,""slope"":112},{""name"":""VI (F)"",""rating"":63.2,""par"":72,""slope"":112},{""name"":""VI (M)"",""rating"":60.8,""par"":72,""slope"":105}]",18,72,,,Private,https://www.aberdeencountryclub.com/
Aberdeen Golf Country Club National,Aberdeen,Mississippi,USA,33.82998137,-88.57328446,"[{""name"":""White (M)"",""rating"":null,""par"":36,""slope"":121},{""name"":""Red (F)"",""rating"":null,""par"":36,""slope"":113}]",18,,,,Private,http://facebook.com/aberdeenccms
Abilene Country Club North Course,Abilene,Texas,USA,32.4066953,-99.7380639,"[{""name"":""Championship (M)"",""rating"":70.1,""par"":71,""slope"":125}]",18,71,,,Private,http://www.abilenecountryclub.com/
Abilene Country Club South Course (Fairway),Abilene,Texas,USA,32.3784558,-99.7611389,"[{""name"":""Champions (M)"",""rating"":73.1,""par"":72,""slope"":131}]",18,72,,,Private,https://www.abilenecountryclub.com/Golf/Tour_The_Courses
Abilene Golf Fitness,Abilene,Kansas,USA,38.9342342,-97.2342735,"[{""name"":""Blue (M)"",""rating"":null,""par"":36,""slope"":122},{""name"":""White (M)"",""rating"":null,""par"":36,""slope"":120},{""name"":""Red (F)"",""rating"":null,""par"":37,""slope"":117}]",9,36,,,Public,http://www.abilenegolfandfitness.com/
Abita Springs Golf Country Club,Abita Springs,Louisiana,USA,30.50018935,-89.95090338,"[{""name"":""Blue (M)"",""rating"":null,""par"":72,""slope"":null},{""name"":""White (M)"",""rating"":null,""par"":72,""slope"":null},{""name"":""Gold (M)"",""rating"":null,""par"":72,""slope"":null},{""name"":""Red (F)"",""rating"":null,""par"":72,""slope"":null}]",18,72,,,Public,http://www.abitagolf.com
Acacia Mesquite At Kierland Golf Club,Scottsdale,Arizona,USA,33.61933672,-111.9341183,"[{""name"":""Cinder (M)"",""rating"":72.5,""par"":72,""slope"":127},{""name"":""Copper (M)"",""rating"":69.2,""par"":72,""slope"":123},{""name"":""Indigo (F)"",""rating"":72.1,""par"":72,""slope"":125},{""name"":""Indigo (M)"",""rating"":66.9,""par"":72,""slope"":114},{""name"":""Turquoise (M)"",""rating"":65.7,""par"":72,""slope"":110},{""name"":""Turquoise (F)"",""rating"":70.5,""par"":72,""slope"":120},{""name"":""Lava (F)"",""rating"":67.7,""par"":72,""slope"":116},{""name"":""Lava (M)"",""rating"":63.1,""par"":72,""slope"":106}]",18,72,,,Public,http://kierlandgolf.com
Acadian Heritage Golf Links,St. Martinville,Louisiana,USA,30.1264,-91.8329,"[{""name"":""Championship"",""rating"":72.1,""par"":72,""slope"":130},{""name"":""Blue"",""rating"":70.2,""par"":72,""slope"":125},{""name"":""White"",""rating"":68.5,""par"":72,""slope"":118}]",18,72,70.4,121,Public,
Achasta Golf Club,Dahlonega,Georgia,USA,34.4997457,-83.9647546,"[{""name"":""Gold (M)"",""rating"":73.3,""par"":72,""slope"":136},{""name"":""Blue (M)"",""rating"":71.4,""par"":72,""slope"":131},{""name"":""Birch/Green (M)"",""rating"":68.6,""par"":72,""slope"":127},{""name"":""White (M)"",""rating"":67.9,""par"":72,""slope"":123},{""name"":""Senior/Yellow (M)"",""rating"":66.3,""par"":72,""slope"":119},{""name"":""Red (F)"",""rating"":68.2,""par"":72,""slope"":122}]",18,72,,,Semi-Private,http://achasta.com/
Ackerman Country Club,Ackerman,Mississippi,USA,33.30440295,-89.14000869,"[{""name"":""Champion (M)"",""rating"":35.2,""par"":36,""slope"":114}]",18,36,,,Private,http://www.golflink.com/golf-courses/course.aspx?course=637645
Ackerman-Allen Course at Purdue University,West Lafayette,Indiana,USA,40.4447,-86.9247,"[{""name"":""Black"",""rating"":73.2,""par"":72,""slope"":134},{""name"":""Blue"",""rating"":71.1,""par"":72,""slope"":129},{""name"":""White"",""rating"":68.9,""par"":72,""slope"":124}]",18,72,74.4,136,Public,
Ackerman-Allen Golf Course,West Lafayette,Indiana,USA,40.4352765,-86.9285435,"[{""name"":""Black (M)"",""rating"":76.8,""par"":72,""slope"":137},{""name"":""Blue (M)"",""rating"":73.2,""par"":72,""slope"":128},{""name"":""White (M)"",""rating"":70.9,""par"":72,""slope"":125},{""name"":""Gold (F)"",""rating"":74.8,""par"":72,""slope"":128},{""name"":""Gold (M)"",""rating"":69.2,""par"":72,""slope"":121},{""name"":""Silver (M)"",""rating"":65.9,""par"":72,""slope"":114},{""name"":""Silver (F)"",""rating"":70.6,""par"":72,""slope"":119}]",18,72,,,Public,https://purduegolf.com/ackerman-allen/
Ackley Country Club,Ackley,Iowa,USA,42.5468819,-93.0490004,"[{""name"":""White (M)"",""rating"":null,""par"":32,""slope"":95},{""name"":""Red (M)"",""rating"":null,""par"":32,""slope"":87}]",9,32,,,Semi-Private,https://ackleyrecclub.com/
Acoaxet Club,Westport,Massachusetts,USA,41.5102882,-71.109497,"[{""name"":""Blue (18-hole) (M)"",""rating"":70.8,""par"":72,""slope"":126},{""name"":""Red (18-hole) (F)"",""rating"":75.2,""par"":73,""slope"":129}]",9,35,,,Private,http://www.acoaxet.com/
Acorn Park Golf Course,Saint Ansgar,Iowa,USA,43.3848108,-92.9417248,"[{""name"":""Black (F)"",""rating"":null,""par"":35,""slope"":101},{""name"":""Black (M)"",""rating"":null,""par"":35,""slope"":105},{""name"":""Red (F)"",""rating"":null,""par"":35,""slope"":99},{""name"":""Red (M)"",""rating"":null,""par"":35,""slope"":103}]",9,35,,,Public,https://www.acornparkgolf.com/
Acorns Golf Links,Warterloo,Illinois,USA,38.2955539,-90.2017454,"[{""name"":""Black (M)"",""rating"":72.3,""par"":72,""slope"":125},{""name"":""Blue (M)"",""rating"":70.2,""par"":72,""slope"":121},{""name"":""White (M)"",""rating"":68,""par"":72,""slope"":115},{""name"":""Yellow (M)"",""rating"":66.8,""par"":72,""slope"":110},{""name"":""Red (F)"",""rating"":67,""par"":72,""slope"":105}]",18,72,,,Public,https://acornsgolf.com/
